plot	site	time	total_precipitation_hourly	u_component_of_wind_10m	v_component_of_wind_10m	ws
plot1	Nouragues	2001-01-12 03:00:00	4.914402961730957e-05	-1.0751495361328125	-0.4538421630859375	1.1670129536732334
plot1	Nouragues	2001-01-12 04:00:00	1.0702759027481079e-05	-0.802520751953125	-0.4426422119140625	0.9164996918076858
plot1	Nouragues	2001-01-12 05:00:00	5.088746547698975e-06	-1.000457763671875	-0.3458404541015625	1.058546813600846
plot1	Nouragues	2001-01-12 06:00:00	2.0585954189300537e-05	-1.1285858154296875	-0.3100128173828125	1.1703904860048726
plot1	Nouragues	2001-01-12 07:00:00	7.264316082000732e-06	-0.774810791015625	-0.621490478515625	0.9932684313718216
plot1	Nouragues	2001-01-12 08:00:00	1.360476016998291e-05	-0.6305999755859375	-0.572723388671875	0.8518617312338784
plot1	Nouragues	2001-01-12 09:00:00	6.329268217086792e-05	-0.615753173828125	-0.7060089111328125	0.9368033698051842
plot1	Nouragues	2001-01-12 10:00:00	0.0004552602767944336	-0.8744354248046875	-0.8141021728515625	1.1947383228117316
plot1	Nouragues	2001-01-12 11:00:00	0.00046375393867492676	-0.713592529296875	-0.7177276611328125	1.012100436430836
plot1	Nouragues	2001-01-12 12:00:00	0.0005495399236679077	-0.7066192626953125	-0.735382080078125	1.0198517471241086
plot1	Nouragues	2001-01-12 13:00:00	5.3688883781433105e-05	-0.351959228515625	-0.600738525390625	0.6962485722971478
plot1	Nouragues	2001-01-12 14:00:00	6.836652755737305e-05	-0.8314208984375	-0.9025115966796875	1.2271054936312276
plot1	Nouragues	2001-01-12 15:00:00	0.00032454729080200195	-0.8697052001953125	-0.7830810546875	1.1703004201730665
plot1	Nouragues	2001-01-12 16:00:00	9.50247049331665e-05	-1.01544189453125	-1.0706787109375	1.4756270339160913
plot1	Nouragues	2001-01-12 17:00:00	0.00013148784637451172	-1.18768310546875	-1.3708648681640625	1.8137975757460827
plot1	Nouragues	2001-01-12 18:00:00	0.001423165202140808	-1.58099365234375	-1.33367919921875	2.0683909531759213
plot1	Nouragues	2001-01-12 19:00:00	0.00011470913887023926	-1.373748779296875	-1.3043060302734375	1.894307242563177
plot1	Nouragues	2001-01-12 20:00:00	0.0003684014081954956	-1.8576812744140625	-1.231231689453125	2.2286568130652715
plot1	Nouragues	2001-01-12 21:00:00	0.00028783082962036133	-1.756439208984375	-1.47088623046875	2.29097904788329
plot1	Nouragues	2001-01-12 22:00:00	9.293854236602783e-05	-1.2864227294921875	-1.2654571533203125	1.804512467633205
plot1	Nouragues	2001-01-12 23:00:00	3.203749656677246e-06	-1.0504150390625	-1.1764373779296875	1.5771419271830776
plot1	Nouragues	2001-01-13 00:00:00	2.2798776626586914e-06	-1.1980438232421875	-1.0378875732421875	1.5850929364233868
