s_name	s_leafarea	s_LMA	s_Nmass	s_Pmass	s_wsg	s_ah	s_hmax	s_dbhmax	s_tlp	s_seedmass	s_regionalfreq
Licania_alba	86.0014482	133.8	0.03712343342	5.374747205999999e-4	0.71	0.2849526687798247	49.95573051170088	0.45518	-2.04	1	0.0087719298245614
Couepia_bracteosa	114.3432044151155	120.32501358796064	0.014494043445	5.311469629e-4	0.6453633455000001	0.3389	47.46	0.43088	-2.2552399999999997	1	0.0087719298245614
Couepia_caryophylloides	101.9301273333333	92.54606607090204	0.018313161505	5.8468909565e-4	0.5783058135	0.3005	49.87	0.82498	-1.86778	1	0.0087719298245614
Hirtella_bicornis	13.660199593333347	69.64085231987019	0.01765221007	4.916447195e-4	0.6562493585	0.3605	44.53	0.45155	-1.829	1	0.0087719298245614
Hirtella_glandulosa	89.28781418277774	107.36977844500367	0.01506196462	4.8211159235e-4	0.808090788	0.3042040375891434	36.504883240081014	0.51784	-1.88614	1	0.0087719298245614
Hirtella_suffulta	38.68370356	89.95944808287629	0.018428957765	6.2810122085e-4	0.739062604	0.2974	50.29	0.19336	-1.6759266665	1	0.0087719298245614
Licania_alba	115.164002767362	128.23264359097925	0.014296798795	4.381471882e-4	0.7343525305	0.29300351158252635	46.95616840301942	0.5662	-1.98724241118085	1	0.0087719298245614
Licania_canescens	26.7603726434426	99.6774699870553	0.02013239766	4.527135387e-4	0.690654187	0.28662240126675503	47.085034071439225	0.35462	-2.04799515143182	1	0.0087719298245614
Licania_membranacea	51.00999194683435	115.83643418537912	0.01602791403	4.304915824e-4	0.717975343	0.2835	50.95	0.597	-2.03735450972059	1	0.0087719298245614
Licania_micrantha	53.4056583511111	105.3720644863866	0.017309124215	4.0811954285e-4	0.7156286995000001	0.3322	46.93	0.45518	-1.82929411764706	1	0.0087719298245614
Licania_ovalifolia	62.64661076	165.3481867900403	0.01487842944	4.2899750135e-4	0.823906872	0.3154	48.56	0.54636	-1.66933333333333	1	0.0087719298245614
Parinari_campestris	37.19341115666665	113.26300179849468	0.01776694804	5.970618438499999e-4	0.6218560390000001	0.2926	51.29	0.79	-1.77825	1	0.0087719298245614
Symphonia_globulifera	20.08062547797299	88.47726519990275	0.01846729239999999	8.67e-4	0.580101	0.292327122574375	50.96065093045213	0.593705	-1.74193103448276	1	0.0087719298245614
Diospyros_carbonaria	48.925657634631946	114.47607981362734	0.015411778945	5.173867781e-4	0.701487655	0.3347	46.72	0.3042	-1.7055833332500001	1	0.0087719298245614
Sloanea_garckeana	67.2122703433333	99.17081885147498	0.015940338115	4.5532677625e-4	0.7379938260000001	0.3053	49.2	0.228	-2.4088533334999997	1	0.0087719298245614
Conceveiba_guianensis	108.367834415664	86.62729194212724	0.022576512425	8.059285561000001e-4	0.60956264	0.2959	50.44	0.2515	-1.72509111111111	1	0.0087719298245614
Hevea_guianensis	52.5345188707143	58.15157688392527	0.02604870216	0.00135363881	0.597895807	0.2909450293498466	45.182503481706576	0.5	-2.17525	1	0.0087719298245614
Mabea_piriri	35.82845980589925	77.36893019599916	0.02315123783999999	7.199173796500001e-4	0.6189284429999999	0.3105	49.01	0.1828	-2.08777777777778	1	0.0087719298245614
Abarema_jupunba	8.32132238277778	86.8559178434896	0.02306523161	0.001309320114	0.497081421	0.2873659931436461	47.141831813565304	0.6128	-1.54689515168182	1	0.0087719298245614
Bocoa_prouacensis	63.2011800668141	90.2878375212352	0.02528971357499999	8.19477771e-4	0.7830951435	0.2846979417623196	48.45781484785172	0.40844	-1.963998113207545	1	0.0087719298245614
Dicorynia_guianensis	65.608241538676907	80.65560398185207	0.024808312795	9.08296688e-4	0.6407214405	0.2588083000318318	51.37969469971853	1.02334	-1.511513469387755	1	0.0087719298245614
Eperua_falcata	38.44877991021365	77.69843232270685	0.02132273537	8.222361679500001e-4	0.6076588519999999	0.28995409899945634	47.54569168488515	0.64611	-1.75721875	1	0.0087719298245614
Eperua_grandiflora	38.473292051535395	121.28310569636544	0.01525722260499999	7.518290064499999e-4	0.683029114	0.3543	45.45	0.73992	-2.0078887178653853	1	0.0087719298245614
Hymenaea_courbaril	46.42473021166665	101.99492794461376	0.0184583	5.25017e-4	0.77	0.26417319532263206	49.133692790259445	1.23684	-1.4429466665	1	0.0087719298245614
Inga_alba	45.60394092	61.90597153860206	0.035822	0.001053	0.59	0.28297493748774427	48.04366854023018	0.67864	-1.73966666666667	1	0.0087719298245614
Inga_loubryana	37.1442400572222	88.13225064909795	0.02937056449999999	9.0176347775e-4	0.518660138	0.3336	47.51	0.406	-1.5535	1	0.0087719298245614
Inga_stipularis	45.324360795	109.95969989055084	0.022622852285	7.9540417955e-4	0.640196818	0.293	51.59	0.33905	-1.57414285714286	1	0.0087719298245614
Pseudopiptadenia_psilostachya	9.068615058888891	99.81033441392658	0.03208097822	6.6787e-4	0.65	0.2623748939968348	52.014197033411975	0.89876	-1.73524	1	0.0087719298245614
Swartzia_panacoco	63.340466125000006	65.56671120384189	0.027636615445	7.3806058675e-4	0.833828757	0.2703	52.82	0.2633	-1.49	1	0.0087719298245614
Swartzia_polyphylla	34.136682714200745	86.44264252869067	0.023049406535	6.361171985e-4	0.7319868285	0.2817358653563341	48.51851889841247	0.85012	-1.515	1	0.0087719298245614
Tachigali_melinonii	29.491229138042797	69.29526713325481	0.0334727	9.6e-4	0.695721	0.2686	52.85	0.606295	-1.80105882352941	1	0.0087719298245614
Vataireopsis_surinamensis	11.45256149666665	57.88302195250752	0.024421862035	6.6762575835e-4	0.6684653455	0.3672	44.57	0.20352	-1.7619133335	1	0.0087719298245614
Vouacapoua_americana	45.4175568186197	67.80254314274835	0.025235431905	0.001130767115	0.7157289615	0.24408844487036432	49.59716281593852	0.67473	-2.05456244897959	1	0.0087719298245614
Goupia_glabra	34.91793927096295	81.1795	0.021970996105	8.30999167e-4	0.664413	0.29329011565691276	47.35246297983754	0.6936	-2.02402380952381	1	0.0087719298245614
Cyrillopsis_paraensis	59.06277690166665	52.32624338116196	0.02909846471	9.52338224e-4	0.8459052625	0.3655	45.09	0.51164	-2.037265	1	0.0087719298245614
Cyrillopsis_paraensis	72.40146835	66.8	0.01559735477	0.002104166754	0.177441469	0.2576992290410872	50.30185053860744	1.09957	-2.02	1	0.0087719298245614
Licaria_guianensis	21.4264593922222	80.86975880929329	0.021616946275	7.619642074500001e-4	0.753315183	0.3098	49	0.15204	-2.4350266665	1	0.0087719298245614
Sextonia_rubra	67.78659112066669	95.13717354318696	0.017954152925	8.230188379999999e-4	0.469071	0.2886831784582208	50.59594959140976	0.8395	-1.58138461538462	1	0.0087719298245614
Couratari_multiflora	27.68117943799765	81.4543494081894	0.023293077065	8.084588631999999e-4	0.677157689	0.3071	48.84	0.82068	-2.1805	1	0.0087719298245614
